0:00:16.659050,71,1
0:00:26.731409,143,2
0:00:33.415422,208,3
0:00:33.416491,323,4
0:00:33.418831,436,6
0:00:33.419301,436,6
0:00:33.453819,524,7
0:00:33.808613,630,8
0:00:38.506414,794,9
0:00:39.847245,810,10
0:00:39.881098,825,11
0:00:40.171945,1143,12
0:00:40.199244,1206,13
0:00:40.257025,1305,14
0:00:42.065360,1471,15
0:00:42.487455,1756,16
0:00:45.505574,1932,17
0:00:46.848284,2094,18
0:00:47.253818,2405,19
0:00:47.254749,2512,20
0:00:47.288891,2654,21
0:00:47.319903,2766,22
0:00:48.751058,2861,23
0:00:49.457225,2990,24
0:00:52.228874,3084,25
0:00:53.610554,3180,26
0:00:53.995416,3284,27
0:00:54.088078,3439,28
0:00:54.089053,3488,29
0:00:54.185882,3625,30
0:00:55.736574,3763,31
0:00:59.284483,3925,32
0:01:01.045432,4060,33
0:01:01.206004,4183,34
0:01:02.536713,4253,35
0:01:06.271158,4409,36
0:01:06.666027,4479,37
0:01:07.156418,4549,38
0:01:07.191378,4619,39
0:01:08.224731,4902,40
0:01:08.543515,5179,41
0:01:08.845124,5249,42
0:01:09.777673,5530,43
0:01:13.503726,5815,44
0:01:13.985938,6100,45
0:01:14.520156,6418,46
0:01:14.521734,6660,47
0:01:15.568241,6937,48
0:01:15.972044,7222,49
0:01:16.350837,7504,50
0:01:16.853762,7599,51
0:01:20.232421,7673,52
0:01:20.435504,7701,53
0:01:21.009697,7745,54
0:01:21.010629,7761,55
0:01:22.223041,7795,56
0:01:22.711850,7836,57
0:01:22.955507,7867,58
0:01:23.553929,7903,59
0:01:26.997165,7943,60
0:01:27.108419,7977,61
0:01:27.727070,8014,62
0:01:27.767999,8050,63
0:01:28.921122,8086,64
0:01:29.513935,8119,65
0:01:29.625787,8157,66
0:01:30.246651,8194,67
0:01:33.483670,8225,68
0:01:33.788022,8258,69
0:01:34.437776,8293,70
0:01:34.479257,8336,71
0:01:36.004808,8483,72
0:01:36.507854,8601,73
0:01:36.614864,8714,74
0:01:36.965520,8774,75
0:01:40.432559,8902,76
0:01:40.621533,9008,77
0:01:41.573802,9136,78
0:01:41.575406,9322,79
0:01:43.031248,9492,80
0:01:43.616314,9689,81
0:01:43.893091,9978,82
0:01:44.063024,10144,83
0:01:47.452034,10296,84
0:01:47.644168,10450,85
0:01:48.323088,10554,86
0:01:48.619337,10713,87
0:01:50.026300,10840,88
0:01:50.416360,10934,89
0:01:50.881803,11034,90
0:01:50.928662,11166,91
0:01:54.203573,11270,92
0:01:54.759501,11459,93
0:01:55.379637,11588,94
0:01:55.426458,11693,95
0:01:56.980167,11830,96
0:01:57.419430,11975,97
0:01:57.642483,12076,98
0:01:57.982629,12195,99
0:02:01.533430,12484,100
0:02:01.771298,12645,101
0:02:02.485380,12756,102
0:02:02.540177,12882,103
0:02:03.785317,12992,104
0:02:04.241173,13091,105
0:02:04.452589,13186,106
0:02:04.936452,13301,107
0:02:08.277651,13405,108
0:02:08.561114,13447,109
0:02:09.234804,13500,110
0:02:09.615507,13664,111
0:02:10.527152,13709,112
0:02:11.208546,13765,113
0:02:11.262596,13880,114
0:02:11.760117,13938,115
0:02:15.025927,13981,116
0:02:15.247026,14053,117
0:02:15.934055,14128,118
0:02:16.328014,14181,119
0:02:17.283568,14228,120
0:02:18.039899,14287,121
0:02:18.291890,14516,122
0:02:18.489257,14567,123
0:02:21.899502,14620,124
0:02:22.899152,14666,125
0:02:23.305043,14707,126
0:02:24.157092,14755,127
0:02:24.262283,14803,128
0:02:24.951821,14868,129
0:02:25.145356,14915,130
0:02:25.338335,14957,131
0:02:28.709195,15032,132
0:02:29.717098,15090,133
0:02:30.031476,15135,134
0:02:30.865560,15188,135
0:02:31.268764,15316,136
0:02:31.666538,15422,137
0:02:32.221825,15550,138
0:02:32.463070,15735,139
0:02:35.801476,15856,140
0:02:36.689021,15972,141
0:02:37.410861,16247,142
0:02:37.848529,16446,143
0:02:38.322211,16573,144
0:02:38.664302,16702,145
0:02:39.195778,16934,146
0:02:39.530780,17081,147
0:02:42.812702,17216,148
0:02:44.150331,17504,149
0:02:44.445290,17655,150
0:02:44.900918,17889,151
0:02:45.383545,18018,152
0:02:45.723633,18206,153
0:02:46.304967,18425,155
0:02:46.305079,18425,155
0:02:49.935618,18658,156
0:02:51.110972,18791,157
0:02:51.495537,18966,158
0:02:51.983458,19168,159
0:02:52.453013,19280,160
0:02:52.860929,19432,161
0:02:53.011432,19532,162
0:02:53.324457,19660,163
0:02:57.039334,19770,164
0:02:58.079237,19898,165
0:02:58.559450,20066,166
0:02:59.082453,20301,167
0:02:59.622492,20521,168
0:02:59.926183,20717,169
0:02:59.979271,20851,170
0:03:00.370941,20967,171
0:03:03.742531,21071,172
0:03:04.919824,21169,173
0:03:05.283666,21266,174
0:03:06.048503,21379,175
0:03:06.696549,21534,176
0:03:06.753566,21633,177
0:03:06.893974,21763,178
0:03:07.482032,21894,179
0:03:10.527695,22003,180
0:03:11.876849,22137,181
0:03:12.253115,22267,182
0:03:13.145138,22435,183
0:03:13.783539,22598,184
0:03:13.785236,22735,185
0:03:14.166330,22992,186
0:03:14.260177,23103,187
0:03:17.623115,23225,188
0:03:18.906477,23373,189
0:03:19.536299,23662,190
0:03:20.219948,23816,191
0:03:20.824979,23944,192
0:03:21.163907,24067,193
0:03:21.227571,24233,194
0:03:21.303010,24504,195
0:03:24.616086,24623,196
0:03:25.586531,24670,197
0:03:26.297041,24773,198
0:03:26.966683,24878,199
0:03:27.877049,24944,200
